Source	OrgProfID	Lat	Long	SoilClass	HzDeIn	HzDeFn	TotFe2O3
RADAM_VOL_26	230	-15.6333	-56.0167	Podzólico_Vermelho_Amarelo_ÁLICO_Plíntico_Tb	49	112	1.8
RADAM_VOL_26	230	-15.6333	-56.0167	Podzólico_Vermelho_Amarelo_ÁLICO_Plíntico_Tb	0	8	0.7
RADAM_VOL_26	232	-15.65	-55.9667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	50	95	
RADAM_VOL_26	232	-15.65	-55.9667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	0	10	
RADAM_VOL_26	233	-15.6667	-56.4333	Solo_Concrecionário_ÁLICO_B_latossólico_Plíntico	67	85	6.8
RADAM_VOL_26	233	-15.6667	-56.4333	Solo_Concrecionário_ÁLICO_B_latossólico_Plíntico	0	9	7
RADAM_VOL_26	234	-15.6833	-55.8833	Solo_Concrecionário_Plíntico_Tb	77	110	7.6
RADAM_VOL_26	234	-15.6833	-55.8833	Solo_Concrecionário_Plíntico_Tb	0	25	3.3
RADAM_VOL_26	235	-15.7	-56.5333	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_média_cascalhenta/argilosa_cascalhenta_Tb	60	100	
RADAM_VOL_26	235	-15.7	-56.5333	Podzólico_Vermelho_Amarelo_ÁLICO_Textura_média_cascalhenta/argilosa_cascalhenta_Tb	0	5	
RADAM_VOL_26	236	-15.7	-55.8833	Solo_Litólico_Distrófico_Textura_média_muito_cascalhenta	0	20	
RADAM_VOL_26	237	-15.7	-55.85	Solo_Concrecionário_Distrófico_B_câmbico	0	20	
RADAM_VOL_26	237	-15.7	-55.85	Solo_Concrecionário_Distrófico_B_câmbico	45	80	
RADAM_VOL_26	238	-15.7	-55.7667	Laterita_Hidromórfica_álica_Tb	76	115	6.7
RADAM_VOL_26	238	-15.7	-55.7667	Laterita_Hidromórfica_álica_Tb	0	10	1.3
